Recipe_ID,Dish Name,Ingredients,Dietary Info,Category
1,Idli,"Rice, Urad dal, Fenugreek seeds, Water, Salt",Veg,Breakfast
2,Dosa,"Rice, Urad dal, Fenugreek seeds, Water, Salt, Oil",Veg,Breakfast
3,Masala Dosa,"Rice, Urad dal, Fenugreek seeds, Potatoes, Onion, Green chilies, Mustard seeds, Curry leaves",Veg,Breakfast
4,Sambar,"Toor dal, Tamarind, Vegetables (drumstick, carrot, beans), Mustard seeds, Curry leaves, Spices",Veg,Curry
5,Rasam,"Tamarind, Tomatoes, Toor dal, Black pepper, Cumin, Mustard seeds, Garlic, Curry leaves",Veg,Soup
6,Pongal,"Rice, Moong dal, Black pepper, Cumin, Cashews, Ghee, Ginger, Curry leaves",Veg,Rice
7,Upma,"Rava (semolina), Mustard seeds, Green chilies, Curry leaves, Ginger, Vegetables, Ghee",Veg,Breakfast
8,Vada,"Urad dal, Green chilies, Ginger, Curry leaves, Black pepper, Hing, Oil",Veg,Appetizer
9,Bisi Bele Bath,"Rice, Toor dal, Tamarind, Bisi bele bath powder, Vegetables, Ghee, Mustard seeds",Veg,Rice
10,Avial,"Mixed vegetables, Coconut, Curd, Green chilies, Curry leaves, Coconut oil",Veg,Curry
11,Pesarattu,"Green gram (moong dal), Ginger, Green chilies, Cumin, Onion",Veg,Breakfast
12,Kuzhi Paniyaram,"Rice, Urad dal, Curry leaves, Mustard seeds, Green chilies, Onion",Veg,Appetizer
13,Appam,"Rice, Coconut milk, Yeast, Sugar, Salt",Veg,Breakfast
14,Parotta,"Maida (refined flour), Ghee, Water, Salt",Veg,Bread
15,Kootu,"Mixed vegetables, Moong dal, Coconut, Green chilies, Cumin, Mustard seeds",Veg,Curry
16,Puliyodarai (Tamarind Rice),"Rice, Tamarind, Mustard seeds, Curry leaves, Peanuts, Turmeric",Veg,Rice
17,Lemon Rice,"Rice, Lemon juice, Mustard seeds, Curry leaves, Green chilies, Turmeric, Peanuts",Veg,Rice
18,Curd Rice,"Rice, Curd, Mustard seeds, Curry leaves, Green chilies, Ginger",Veg,Rice
19,Nei Payasam,"Rice, Jaggery, Ghee, Cardamom, Coconut, Cashews, Raisins",Veg,Dessert
20,Chettinad Chicken Curry,"Chicken, Coconut, Black pepper, Fennel seeds, Curry leaves, Onion, Tomatoes, Garlic",Non-Veg,Curry
21,Chicken 65,"Chicken, Yogurt, Ginger-garlic paste, Curry leaves, Green chilies, Spices",Non-Veg,Appetizer
